               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.031428,            0.050747,           0.0040217,             0.82258,             0.80039,             0.84022,             0.56396,            0.030155,            0.050396,           0.0054851,             0.00571,             0.00571,             0.00571
                  67,            0.031165,            0.049801,           0.0040229,             0.81148,             0.79339,             0.83407,             0.56568,            0.030111,            0.050735,           0.0055345,            0.005644,            0.005644,            0.005644
                  68,              0.0309,            0.049596,           0.0038957,             0.82036,             0.79874,             0.83576,             0.55923,            0.030382,            0.050589,            0.005578,            0.005578,            0.005578,            0.005578
                  69,            0.031374,            0.052332,           0.0040108,             0.84133,             0.79094,             0.84216,             0.57119,            0.030078,             0.05024,           0.0053357,            0.005512,            0.005512,            0.005512
                  70,            0.031108,            0.050061,           0.0039108,             0.82305,             0.82404,              0.8472,             0.56629,            0.030089,            0.050055,           0.0055525,            0.005446,            0.005446,            0.005446
                  71,             0.03059,            0.048824,           0.0037861,             0.84267,             0.78983,             0.84496,               0.576,            0.030057,            0.050524,            0.005307,             0.00538,             0.00538,             0.00538
                  72,            0.030671,             0.04933,           0.0037116,             0.82148,             0.80573,             0.84152,             0.57884,            0.029857,            0.050115,            0.005342,            0.005314,            0.005314,            0.005314
                  73,            0.030659,            0.050985,           0.0037297,             0.83516,             0.79339,             0.84295,             0.57528,            0.029688,            0.049967,           0.0052414,            0.005248,            0.005248,            0.005248
                  74,            0.030371,            0.048339,           0.0036713,             0.83346,             0.80167,             0.84248,             0.58369,            0.029774,            0.049859,             0.00533,            0.005182,            0.005182,            0.005182
                  75,            0.030381,            0.049549,           0.0037575,               0.857,             0.80812,             0.84567,             0.57966,            0.030045,            0.049954,           0.0054656,            0.005116,            0.005116,            0.005116
                  76,            0.030145,            0.048157,           0.0036359,             0.81816,             0.81805,             0.84239,             0.57885,             0.02973,            0.049961,           0.0054706,             0.00505,             0.00505,             0.00505
                  77,            0.030291,            0.050035,           0.0035543,             0.83517,             0.80905,             0.84709,             0.58767,            0.029646,            0.049455,           0.0052409,            0.004984,            0.004984,            0.004984
                  78,            0.030341,              0.0502,           0.0036269,             0.82555,             0.81119,              0.8447,             0.58731,            0.029694,             0.04972,           0.0055388,            0.004918,            0.004918,            0.004918
                  79,            0.030024,            0.047985,           0.0035131,             0.87099,             0.78881,             0.84445,             0.58491,            0.029536,            0.050285,           0.0053705,            0.004852,            0.004852,            0.004852
                  80,            0.029932,            0.047515,           0.0034873,             0.85178,             0.80971,             0.84824,             0.58867,            0.029422,            0.050189,           0.0052319,            0.004786,            0.004786,            0.004786
                  81,            0.029697,            0.048343,           0.0034236,             0.87808,             0.80534,             0.85146,             0.58547,            0.029462,            0.050755,           0.0051642,             0.00472,             0.00472,             0.00472
                  82,            0.029711,            0.047187,           0.0033938,             0.86148,              0.8057,              0.8455,             0.58182,            0.029483,            0.050033,            0.005143,            0.004654,            0.004654,            0.004654
                  83,             0.02975,            0.047728,           0.0035442,             0.82875,             0.82519,             0.84634,             0.57751,            0.029466,            0.050442,           0.0051219,            0.004588,            0.004588,            0.004588
                  84,            0.029579,            0.048288,           0.0033697,             0.82489,             0.81395,             0.84564,             0.58173,            0.029367,            0.050253,           0.0051211,            0.004522,            0.004522,            0.004522
